Barcode,Accession,State,County,Full_name,Genus,Species,Determiner,jpeg_address
123456,456890,California,Humboldt,Arctostaphylos glandulosa,Arctostaphylos,glandulosa,A. Smith,cas123456.jpeg
123457,456891,California,Siskiyou,Ceanothus thyrsiflorus,Ceanothus,thyrsiflorus,B. Johnson,cas123457.jpeg
123458,456891,California,Inyo,Dichelostemma capitatum,Dichelostemma,capitatum,C. Williams,cas123458.jpeg
123459,456891,California,Glenn,Eschscholzia californica,Eschscholzia,californica,D. Jones,cas123459.jpeg
123460,456891,California,Imperial,Salvia apiana,Salvia,apiana,E. Brown,cas123460.jpeg
123461,456891,California,Shasta,Lupinus arboreus,Lupinus,arboreus,F. Davis,cas123461.jpeg
123462,456891,California,Yolo,Sisyrinchium bellum,Sisyrinchium,bellum,G. Miller,cas123462.jpeg
123463,456891,California,El Dorado,Mimulus aurantiacus,Mimulus,aurantiacus,H. Wilson,cas123463.jpeg
123464,456891,California,Amador,Clarkia amoena,Clarkia,amoena,I. Anderson,cas123464.jpeg
123465,456891,California,Napa,Penstemon heterophyllus,Penstemon,heterophyllus,J. Taylor,cas123465.jpeg
123466,456891,California,San Diego,Eriogonum giganteum,Eriogonum,giganteum,K. Thomas,cas123466.jpeg
123467,456891,California,Madera,Dudleya farinosa,Dudleya,farinosa,L. Jackson,cas123467.jpeg
123468,456891,California,Tuolumne,Ribes sanguineum,Ribes,sanguineum,M. White,cas123468.jpeg
123469,456891,California,San Benito,Asclepias fascicularis,Asclepias,fascicularis,N. Harris,cas123469.jpeg
123470,456891,California,Merced,Fremontodendron californicum,Fremontodendron,californicum,O. Martin,cas123470.jpeg
123471,456891,California,Colusa,Mahonia aquifolium,Mahonia,aquifolium,P. Thompson,cas123471.jpeg
123472,456891,California,Trinity,Hesperoyucca whipplei,Hesperoyucca,whipplei,Q. Garcia,cas123472.jpeg
123473,456891,California,Calaveras,Aquilegia formosa,Aquilegia,formosa,R. Martinez,cas123473.jpeg
123474,456891,California,Mariposa,Epilobium canum,Epilobium,canum,S. Robinson,cas123474.jpeg
123475,456891,California,San Francisco,Trillium ovatum,Trillium,ovatum,T. Clark,cas123475.jpeg
123476,456891,California,Santa Clara,Baccharis pilularis,Baccharis,pilularis,U. Lewis,cas123476.jpeg
123477,456891,California,Mono,Gilia capitata,Gilia,capitata,V. Lee,cas123477.jpeg
123478,456891,California,Kern,Keckiella cordifolia,Keckiella,cordifolia,W. Walker,cas123478.jpeg
123479,456891,California,Mendocino,Festuca californica,Festuca,californica,X. Hall,cas123479.jpeg
123480,456891,California,Solano,Iris douglasiana,Iris,douglasiana,Y. Young,cas123480.jpeg
123481,456891,California,Sacramento,Nemophila menziesii,Nemophila,menziesii,Z. King,cas123481.jpeg
123482,456891,California,Contra Costa,Aesculus californica,Aesculus,californica,A. Adams,cas123482.jpeg
123483,456891,California,San Mateo,Lonicera hispidula,Lonicera,hispidula,B. Allen,cas123483.jpeg
123484,456891,California,Yuba,Calochortus venustus,Calochortus,venustus,C. Baker,cas123484.jpeg
123485,456891,California,Butte,Mimulus cardinalis,Mimulus,cardinalis,D. Bell,cas123485.jpeg
123486,456891,California,Santa Barbara,Rhamnus californica,Rhamnus,californica,E. Bennett,cas123486.jpeg
123487,456891,California,Ventura,Heteromeles arbutifolia,Heteromeles,arbutifolia,F. Brooks,cas123487.jpeg
123488,456891,California,Alpine,Erigeron glaucus,Erigeron,glaucus,G. Butler,cas123488.jpeg
123489,456891,California,Stanislaus,Frangula californica,Frangula,californica,H. Carter,cas123489.jpeg
123490,456891,California,Orange,Zauschneria californica,Zauschneria,californica,I. Collins,cas123490.jpeg
123491,456891,California,Del Norte,Delphinium cardinale,Delphinium,cardinale,J. Cooper,cas123491.jpeg
123492,456891,California,Nevada,Ribes aureum,Ribes,aureum,K. Cox,cas123492.jpeg
