Application Batch,csv_batch,object type,folder_barcode,specimen_barcode,filed_as_family,barcode_information,path_jpg,collector_number,collector_first_name 1,collector_middle_name 1,collector_last_name 1,collector_first_name 2,collector_middle_name 2,collector_last_name 2,collector_first_name 3,collector_middle_name 3,collector_last_name 3,collector_first_name 4,collector_middle_name 4,collector_last_name 4,collector_first_name 5,collector_middle_name 5,collector_last_name 5,Country,State,County,Locality,Verbatim Date,Start Date,End Date,Notes,Feedback
1,csv_1234,raw_csv,Cover 123456_1.jpg,123456.jpg,TRUE,,Production/2023/03/24/123456.jpeg,14567,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,2 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1235,raw_csv,Cover 123456_1.jpg,123457.jpg,TRUE,,Production/2023/03/24/123457.jpeg,14568,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,3 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1236,raw_csv,Cover 123456_1.jpg,123458.jpg,TRUE,,Production/2023/03/24/123458.jpeg,14569,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,4 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1237,raw_csv,Cover 123456_1.jpg,123459.jpg,TRUE,,Production/2023/03/24/123459.jpeg,14570,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,5 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1238,raw_csv,Cover 123456_1.jpg,123460.jpg,TRUE,,Production/2023/03/24/123460.jpeg,14571,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,6 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1239,raw_csv,Cover 123456_1.jpg,123461.jpg,TRUE,,Production/2023/03/24/123461.jpeg,14572,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,7 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1240,raw_csv,Cover 123456_1.jpg,123462.jpg,TRUE,,Production/2023/03/24/123462.jpeg,14573,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,8 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1241,raw_csv,Cover 123456_1.jpg,123463.jpg,TRUE,,Production/2023/03/24/123463.jpeg,14574,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,9 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1242,raw_csv,Cover 123456_1.jpg,123464.jpg,TRUE,,Production/2023/03/24/123464.jpeg,14575,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,10 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
1,csv_1243,raw_csv,Cover 123456_1.jpg,123465.jpg,TRUE,,Production/2023/03/24/123465.jpeg,14576,Joseph,,Candel,Vladimir,Y.,Chemodanov,,,,,,,,,,United States,California,Marin,11 mi from of Mt.Fake,23' May 1944,5/23/44,,smudged accession,
